Train [5][1200/2502]	Time 0.378 (0.373)	Data 0.001 (0.001)	Loss 3.3393 (3.4069)	Top-1 acc 44.336 (42.438)	Top-5 acc 68.555 (67.665)	lr 0.17918
Train [5][1300/2502]	Time 0.374 (0.373)	Data 0.001 (0.001)	Loss 3.3237 (3.4015)	Top-1 acc 42.578 (42.538)	Top-5 acc 70.703 (67.770)	lr 0.18078
Train [5][1400/2502]	Time 0.370 (0.373)	Data 0.001 (0.001)	Loss 3.2108 (3.3981)	Top-1 acc 46.094 (42.613)	Top-5 acc 71.484 (67.851)	lr 0.18237
Train [5][1500/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 3.2652 (3.3950)	Top-1 acc 44.531 (42.688)	Top-5 acc 70.312 (67.916)	lr 0.18397
Train [5][1600/2502]	Time 0.372 (0.373)	Data 0.001 (0.001)	Loss 3.2135 (3.3919)	Top-1 acc 46.875 (42.756)	Top-5 acc 70.117 (67.965)	lr 0.18557
Train [5][1700/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 3.6345 (3.3882)	Top-1 acc 37.695 (42.832)	Top-5 acc 61.914 (68.042)	lr 0.18717
Train [5][1800/2502]	Time 0.382 (0.373)	Data 0.001 (0.001)	Loss 3.3202 (3.3848)	Top-1 acc 44.727 (42.916)	Top-5 acc 66.602 (68.114)	lr 0.18877
Train [5][1900/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 3.3577 (3.3807)	Top-1 acc 43.555 (43.002)	Top-5 acc 67.188 (68.199)	lr 0.19036
Train [5][2000/2502]	Time 0.381 (0.373)	Data 0.001 (0.001)	Loss 3.3845 (3.3778)	Top-1 acc 42.578 (43.085)	Top-5 acc 70.898 (68.258)	lr 0.19196
Train [5][2100/2502]	Time 0.372 (0.373)	Data 0.001 (0.001)	Loss 3.3034 (3.3737)	Top-1 acc 42.773 (43.177)	Top-5 acc 70.508 (68.351)	lr 0.19356
Train [5][2200/2502]	Time 0.368 (0.373)	Data 0.001 (0.001)	Loss 3.4354 (3.3712)	Top-1 acc 43.750 (43.239)	Top-5 acc 66.602 (68.404)	lr 0.19516
Train [5][2300/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 3.3113 (3.3677)	Top-1 acc 44.336 (43.313)	Top-5 acc 72.070 (68.474)	lr 0.19676
Train [5][2400/2502]	Time 0.370 (0.373)	Data 0.001 (0.001)	Loss 3.1846 (3.3641)	Top-1 acc 49.023 (43.383)	Top-5 acc 72.852 (68.544)	lr 0.19835
Train [5][2500/2502]	Time 0.381 (0.373)	Data 0.001 (0.001)	Loss 3.3285 (3.3610)	Top-1 acc 44.922 (43.452)	Top-5 acc 68.359 (68.611)	lr 0.19995
==========Valid [5/120]	loss 2.577	top-1 acc 43.806 (43.806)	top-5 acc 70.084	Train top-1 43.452	top-5 68.613
Train [6][0/2502]	Time 0.430 (0.430)	Data 0.001 (0.001)	Loss 3.3858 (3.3858)	Top-1 acc 42.773 (42.773)	Top-5 acc 68.164 (68.164)	lr 0.20000
